Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
-1,Led Zeppelin: Celebration Day,"$134,753",-,"$134,753",2012.csv,2012,-,100%
-1,Kumaré,"$132,160","$132,160",-,2012.csv,2012,100%,-
-1,My Brother the Devil,"$132,056","$44,906","$87,150",2012.csv,2012,34%,66%
-1,How to Survive a Plague,"$132,055","$132,055",-,2012.csv,2012,100%,-
-1,Mugamoodi,"$131,965","$101,000","$30,965",2012.csv,2012,76.5%,23.5%
-1,28 Hotel Rooms,"$131,208","$18,869","$112,339",2012.csv,2012,14.4%,85.6%
-1,Yossi,"$128,668","$117,047","$11,621",2012.csv,2012,91%,9%
-1,Silent Night,"$126,594","$14,567","$112,027",2012.csv,2012,11.5%,88.5%
-1,Escape Fire: The Fight to Rescue American Healthcare,"$126,238","$126,238",-,2012.csv,2012,100%,-
-1,Post Tenebras Lux,"$124,279","$39,185","$85,094",2012.csv,2012,31.5%,68.5%
-1,The Magic of Belle Isle,"$123,821","$102,388","$21,433",2012.csv,2012,82.7%,17.3%
-1,Letters to Elena,"$121,254","$8,511","$112,743",2012.csv,2012,7%,93%
-1,Cowgirls 'n Angels,"$120,680","$120,680",-,2012.csv,2012,100%,-
-1,Foodfight!,"$120,141",-,"$120,141",2012.csv,2012,-,100%
-1,The Art of Flight,"$116,134",-,"$116,134",2012.csv,2012,-,100%
-1,Burn 2012 Re-release,"$113,173","$113,173",-,2012.csv,2012,100%,-
-1,Follow Me: The Yoni Netanyahu Story,"$112,679","$112,679",-,2012.csv,2012,100%,-
-1,"Wild Horse, Wild Ride","$111,205","$111,205",-,2012.csv,2012,100%,-
-1,The Obama Effect,"$110,904","$110,904",-,2012.csv,2012,100%,-
-1,The Perfect Family,"$110,313","$110,313",-,2012.csv,2012,100%,-
-1,Cockneys vs Zombies,"$107,348",-,"$107,348",2012.csv,2012,-,100%
-1,Wrong,"$106,425","$46,021","$60,404",2012.csv,2012,43.2%,56.8%
-1,Brake,"$102,819","$4,876","$97,943",2012.csv,2012,4.7%,95.3%
-1,Hardflip,"$96,734","$96,734",-,2012.csv,2012,100%,-
-1,Vamps,"$92,748","$3,361","$89,387",2012.csv,2012,3.6%,96.4%
-1,The First Time,"$92,654","$22,836","$69,818",2012.csv,2012,24.6%,75.4%
-1,This Is Not a Film,"$88,758","$77,016","$11,742",2012.csv,2012,86.8%,13.2%
-1,Hating Breitbart,"$81,432","$81,432",-,2012.csv,2012,100%,-
-1,The Island President,"$80,996","$76,398","$4,598",2012.csv,2012,94.3%,5.7%
-1,Taur Mittran Di,"$80,879","$69,510","$11,369",2012.csv,2012,85.9%,14.1%
-1,Harvest of Empire,"$79,627","$79,627",-,2012.csv,2012,100%,-
-1,Jodi Breakers,"$78,024","$52,618","$25,406",2012.csv,2012,67.4%,32.6%
-1,On the Ice,"$73,492","$73,492",-,2012.csv,2012,100%,-
-1,The Invisible War,"$71,968","$71,968",-,2012.csv,2012,100%,-
-1,Runaway Slave,"$71,737","$71,737",-,2012.csv,2012,100%,-
-1,4:44 Last Day on Earth,"$70,851","$17,801","$53,050",2012.csv,2012,25.1%,74.9%
-1,An Inconsistent Truth,"$69,394","$69,394",-,2012.csv,2012,100%,-
-1,Klown 2012 Re-release,"$68,795","$68,795",-,2012.csv,2012,100%,-
-1,Side by Side,"$67,054","$58,825","$8,229",2012.csv,2012,87.7%,12.3%
-1,Sing Your Song,"$65,310","$47,718","$17,592",2012.csv,2012,73.1%,26.9%
-1,You've Been Trumped,"$65,220","$29,273","$35,947",2012.csv,2012,44.9%,55.1%
-1,Toys in the Attic 2012 Re-release,"$64,918","$64,918",-,2012.csv,2012,100%,-
-1,The Details,"$63,595","$63,595",-,2012.csv,2012,100%,-
-1,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"$63,469","$5,102","$58,367",2012.csv,2012,8%,92%
-1,Quill: The Life of a Guide Dog 2012 Re-release,"$61,674","$15,674","$46,000",2012.csv,2012,25.4%,74.6%
-1,Backwards,"$61,465","$61,465",-,2012.csv,2012,100%,-
-1,The Bodyguard 2012 Re-release,"$61,020","$61,020",-,2012.csv,2012,100%,-
-1,Gregory Crewdson: Brief Encounters,"$60,064","$60,064",-,2012.csv,2012,100%,-
-1,The Extraordinary Voyage,"$59,424","$52,986","$6,438",2012.csv,2012,89.2%,10.8%
-1,Playback,"$57,587",$264,"$57,323",2012.csv,2012,0.5%,99.5%
-1,Beyond the Black Rainbow,"$56,491","$56,491",-,2012.csv,2012,100%,-
-1,Natural Selection,"$55,282","$55,282",-,2012.csv,2012,100%,-
-1,Wagner & Me 2012 Re-release,"$54,215","$37,745","$16,470",2012.csv,2012,69.6%,30.4%
-1,A Beautiful Soul,"$54,008","$54,008",-,2012.csv,2012,100%,-
-1,Surviving Progress,"$53,953","$53,953",-,2012.csv,2012,100%,-
-1,Occupy Unmasked,"$52,768","$52,768",-,2012.csv,2012,100%,-
-1,The Good Doctor,"$51,017","$5,206","$45,811",2012.csv,2012,10.2%,89.8%
-1,Wake in Fright 2012 Re-release,"$50,394","$50,394",-,2012.csv,2012,100%,-
-1,The Fitzgerald Family Christmas,"$50,292","$50,292",-,2012.csv,2012,100%,-
-1,Bonsai,"$49,128","$21,267","$27,861",2012.csv,2012,43.3%,56.7%
-1,Life Happens,"$48,041","$30,905","$17,136",2012.csv,2012,64.3%,35.7%
-1,Entre les Bras,"$47,439","$47,439",-,2012.csv,2012,100%,-
-1,Patience (After Sebald),"$46,410","$15,941","$30,469",2012.csv,2012,34.3%,65.7%
-1,Greedy Lying Bastards,"$46,121","$45,000","$1,121",2012.csv,2012,97.6%,2.4%
-1,Ballplayer: Pelotero,"$46,109","$46,109",-,2012.csv,2012,100%,-
-1,Eddie: The Sleepwalking Cannibal,"$45,604","$1,632","$43,972",2012.csv,2012,3.6%,96.4%
-1,The Pruitt-Igoe Myth,"$44,883","$44,883",-,2012.csv,2012,100%,-
-1,Union Square,"$44,830","$44,830",-,2012.csv,2012,100%,-
-1,"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie","$43,583","$43,583",-,2012.csv,2012,100%,-
-1,The Graduate 45th Anniversary Reunion,"$43,466","$43,466",-,2012.csv,2012,100%,-
-1,Last Call at the Oasis,"$42,423","$42,423",-,2012.csv,2012,100%,-
-1,Fixing the Future,"$42,393","$42,393",-,2012.csv,2012,100%,-
-1,Kalakalappu,"$41,624","$30,949","$10,675",2012.csv,2012,74.4%,25.6%
-1,Death of a Superhero,"$41,575",$607,"$40,968",2012.csv,2012,1.5%,98.5%
-1,The Comedy,"$41,113","$41,113",-,2012.csv,2012,100%,-
-1,Fat Kid Rules the World,"$41,000","$41,000",-,2012.csv,2012,100%,-
-1,Found Memories,"$40,729","$10,575","$30,154",2012.csv,2012,26%,74%
-1,The FP,"$40,557","$40,557",-,2012.csv,2012,100%,-
-1,Paan Singh Tomar,"$40,311","$40,311",-,2012.csv,2012,100%,-
-1,Port of Shadows,"$39,623","$27,389","$12,234",2012.csv,2012,69.1%,30.9%
-1,Paul Williams Still Alive,"$38,691","$38,691",-,2012.csv,2012,100%,-
-1,Death by China,"$38,492","$38,492",-,2012.csv,2012,100%,-
-1,Children of Paradise 2012 Re-release,"$36,986","$36,986",-,2012.csv,2012,100%,-
-1,Hit So Hard,"$36,576","$34,025","$2,551",2012.csv,2012,93%,7%
-1,Mansome,"$36,280","$36,280",-,2012.csv,2012,100%,-
-1,Loosies,"$36,145","$3,519","$32,626",2012.csv,2012,9.7%,90.3%
-1,Bangkok Revenge,"$35,784","$35,784",-,2012.csv,2012,100%,-
-1,Max and the Junkmen,"$35,387","$35,387",-,2012.csv,2012,100%,-
-1,Comic-Con Episode IV: A Fan's Hope,"$34,665","$34,665",-,2012.csv,2012,100%,-
-1,Orchestra of Exiles,"$34,577","$34,577",-,2012.csv,2012,100%,-
-1,The Day I Saw Your Heart 2012 Re-release,"$32,567","$3,546","$29,021",2012.csv,2012,10.9%,89.1%
-1,District of Corruption,"$31,954","$31,954",-,2012.csv,2012,100%,-
-1,Musical Chairs,"$31,478","$31,478",-,2012.csv,2012,100%,-
-1,Celine and Julie Go Boating,"$31,452","$31,452",-,2012.csv,2012,100%,-
-1,Here,"$31,428","$26,743","$4,685",2012.csv,2012,85.1%,14.9%
-1,Meet the Fokkens,"$30,810","$30,810",-,2012.csv,2012,100%,-
-1,Hide Away,"$30,655","$30,655",-,2012.csv,2012,100%,-
-1,Brother 2012 Re-release,"$29,864","$29,864",-,2012.csv,2012,100%,-
-1,Hitler's Children,"$28,663","$28,663",-,2012.csv,2012,100%,-
-1,North Sea Texas 2012 Re-release,"$28,307","$28,307",-,2012.csv,2012,100%,-
-1,The Ambassador,"$28,102","$28,102",-,2012.csv,2012,100%,-
-1,Least Among Saints,"$28,026","$28,026",-,2012.csv,2012,100%,-
-1,"The Devil, Probably","$26,816","$26,816",-,2012.csv,2012,100%,-
-1,"Pink Ribbons, Inc.","$26,608","$26,608",-,2012.csv,2012,100%,-
-1,Django,"$25,916","$25,916",-,2012.csv,2012,100%,-
-1,Nobody Walks,"$25,342","$25,342",-,2012.csv,2012,100%,-
-1,Death of the Virgin,"$25,247","$25,247",-,2012.csv,2012,100%,-
-1,The Day,"$24,686","$20,984","$3,702",2012.csv,2012,85%,15%
-1,Otter 501,"$24,449","$24,449",-,2012.csv,2012,100%,-
-1,Radio Unnameable,"$24,090","$24,090",-,2012.csv,2012,100%,-
-1,Beneath the Darkness,"$23,998",-,"$23,998",2012.csv,2012,-,100%
-1,The Iran Job,"$23,115","$23,115",-,2012.csv,2012,100%,-
-1,Hellbound?,"$22,887","$22,887",-,2012.csv,2012,100%,-
-1,Keyhole,"$22,826","$22,826",-,2012.csv,2012,100%,-
-1,The Long Day Closes,"$22,765","$22,765",-,2012.csv,2012,100%,-
-1,Carol Channing: Larger Than Life,"$22,740","$22,740",-,2012.csv,2012,100%,-
-1,The Revisionaries,"$22,664","$22,664",-,2012.csv,2012,100%,-
-1,Girl Model,"$22,369","$21,154","$1,215",2012.csv,2012,94.6%,5.4%
-1,The Painting,"$22,313","$21,008","$1,305",2012.csv,2012,94.2%,5.8%
-1,Losing Control,"$22,081","$22,081",-,2012.csv,2012,100%,-
-1,Better Than Something: Jay Reatard,"$21,697","$21,697",-,2012.csv,2012,100%,-
-1,Sedona,"$21,638","$21,638",-,2012.csv,2012,100%,-
-1,Waiting for Lightning,"$21,577","$21,577",-,2012.csv,2012,100%,-
-1,10 timer til Paradis,"$21,561","$16,000","$5,561",2012.csv,2012,74.2%,25.8%
-1,For Ellen,"$20,746","$12,396","$8,350",2012.csv,2012,59.8%,40.2%
-1,The Highest Pass,"$20,386","$20,386",-,2012.csv,2012,100%,-
-1,Jesus Henry Christ,"$20,183","$20,183",-,2012.csv,2012,100%,-
-1,How to Grow a Band,"$20,135","$20,135",-,2012.csv,2012,100%,-
-1,Grassroots,"$19,492","$12,356","$7,136",2012.csv,2012,63.4%,36.6%
-1,In Over My Head,"$19,482","$19,482",-,2012.csv,2012,100%,-
-1,Tchoupitoulas,"$19,375","$19,375",-,2012.csv,2012,100%,-
